id,expression
WAN0088ZE_at,5.148715824
WAN0088ZG_at,5.382474028
WAN0088ZI_at,5.313243991
WAN0088ZJ_at,7.088272106
WAN0088ZK-rc_at,4.049171862
WAN0088ZL_x_at,2.426879602
WAN0088ZM_at,5.577041633
WAN0088ZN_at,4.155485165
WAN0088ZO_x_at,4.285604139
WAN0088ZP_at,4.144847253
WAN0088ZT_at,6.191126554
WAN0088ZU_at,3.696159208
WAN0088ZW_at,5.762275274
WAN0088ZY_at,4.201788757
WAN0088ZZ_at,4.734158447
WAN008900_at,3.656505605
WAN008901_at,4.185637983
WAN008906_at,5.059243776
WAN008907_at,6.3491045
WAN008908_at,4.844153579
WAN008930_at,3.146337158
WAN008931_at,4.25610443
WAN008936_at,5.786986954
WAN008939_at,4.931219395
WAN00893B_x_at,3.120756146
WAN00893E_at,3.519695395
WAN00893H_at,4.530201039
WAN00893K_at,4.137066184
WAN00893L_at,3.451194884
WAN00893P_at,3.676257767
WAN00893Q_at,5.927049018
WAN00893T_f_at,7.537079023
WAN00893T_x_at,4.664837213
WAN00893V_at,4.051184873
WAN00893X_at,2.847123505
WAN00893Z_at,6.241735905
WAN008940_at,6.658958014
WAN00894H_at,4.974170886
WAN00894J_at,5.477339419
WAN00894K_at,6.961739708
WAN00894P_at,5.623224666
WAN00894Q_at,5.050522097
WAN00895F_at,4.109820614
WAN00895G_at,4.801165719
WAN00895H_at,3.896775476
WAN00895I_x_at,5.228845254
WAN00895K_at,10.45895524
WAN00895L_at,3.269065025
WAN00895O_at,6.064945664
WAN00895Q_x_at,5.36151829
WAN00895S_at,6.556976073
WAN00895U_at,3.758511246
WAN00895V_x_at,5.26409005
WAN00895W_x_at,4.053302651
WAN00895Y_f_at,9.57329897
WAN00895Z_at,4.239770842
WAN008966_at,4.974384042
WAN008968_at,5.223343172
WAN00896E_at,4.335909459
WAN00896F_at,4.624216038
WAN00896G_at,3.579835197
WAN00896H_at,5.236574248
WAN00896K_at,5.404325749
WAN00896L_f_at,11.84625468
WAN00896M_at,7.942621438
WAN008BNE_x_at,5.403534667
WAN008BNG_at,5.270969236
WAN008BNI_at,5.043712699
WAN008BNO_at,7.00063568
WAN008BNS_at,4.759972884
WAN008BNU_f_at,4.436784221
WAN008BNU_x_at,3.651784859
WAN008BNY_at,6.437627888
WAN008BO2_at,4.265602171
WAN008BO4_at,4.002500867
WAN008BO6_at,6.127683616
WAN008BO6-rc_x_at,3.418212415
WAN008BOE_at,5.747867623
WAN008BOI_at,5.735672221
WAN008BOM_at,4.766279482
WAN008BOQ_at,4.974396646
WAN008BQR_at,5.577770981
WAN008BQS_at,3.69054901
WAN008BQT_x_at,4.540606851
WAN008BQU_at,4.486693145
WAN008BQX_x_at,5.10653291
WAN008BQY_at,4.70732174
WAN008BQZ_at,4.645095363
WAN008BR0_at,7.180992217
WAN008BR4_at,6.150920968
WAN008BR5_at,4.266690334
WAN008BR6_at,3.201326772
WAN008BR7_at,4.966282767
WAN008BR8_at,4.591678475
WAN008BR9_at,5.679001086
WAN008BRC_at,4.932205198
WAN008BRD_at,3.904442238
WAN008BRH_at,4.156051898
WAN008BRI_at,5.674917974
WAN008BRJ_x_at,3.552707672
WAN008BRK_at,10.53035883
WAN008BRL_at,5.411704153
WAN008BRN_at,4.582696858
WAN008BRO_at,3.742061442
